n,s,t,n_compares,time_taken_s
1000,7,3,8722,0.03385853534564376
1000,6,29,8716,0.03603478893637657
1000,6,27,8684,0.015278219245374203
1000,6,24,8706,0.03881346993148327
1000,6,22,8723,0.03306830069050193
1000,6,21,8699,0.037822708021849394
1000,6,16,8709,0.03653719322755933
1000,6,15,8681,0.04135200707241893
1000,6,14,8703,0.04307497991248965
1000,6,12,8675,0.03327522333711386
1000,6,11,8684,0.03722245339304209
1000,6,10,8694,0.04053242597728968
1000,6,9,8737,0.026007449254393578
1000,6,8,8685,0.046873982064425945
1000,6,7,8705,0.04403846012428403
1000,6,6,8718,0.031345689203590155
1000,6,5,8688,0.035975783597677946
1000,6,4,8735,0.04572316911071539
1000,6,3,8717,0.046363642904907465
1000,6,2,8733,0.04496006900444627
1000,6,1,8680,0.04043289413675666
1000,6,0,8715,0.042193370405584574
1000,5,29,8706,0.03969724616035819
1000,5,28,8708,0.030257586855441332
1000,5,27,8699,0.02712568873539567
1000,5,26,8698,0.039219087921082973
1000,5,25,8720,0.03143497183918953
1000,5,24,8699,0.03235087916254997
1000,5,23,8726,0.031830709893256426
1000,5,22,8715,0.031802184879779816
1000,5,21,8689,0.0281186462379992
1000,5,20,8703,0.028985568787902594
1000,5,19,8747,0.024816188029944897
1000,5,18,8723,0.024663471151143312
1000,5,17,8729,0.025486447848379612
1000,5,16,8710,0.03585690259933472
1000,5,15,8700,0.019657236989587545
1000,5,14,8708,0.018736068159341812
1000,5,13,8720,0.01856887387111783
1000,5,12,8721,0.019595527090132236
1000,5,11,8694,0.025721463840454817
1000,5,10,8706,0.019574997015297413
1000,5,9,8724,0.019618592225015163
1000,5,8,8701,0.023697115015238523
1000,5,7,8709,0.02399145718663931
1000,5,6,8701,0.02923951204866171
1000,5,5,8715,0.0230567529797554
1000,5,4,8706,0.033014347311109304
1000,5,3,8703,0.023578465916216373
1000,5,2,8714,0.018337124958634377
1000,5,1,8695,0.021077242214232683
1000,5,0,8708,0.030723953153938055
1000,4,29,8739,0.022911943029612303
1000,4,28,8717,0.030250122770667076
1000,4,27,8715,0.023638292215764523
1000,4,26,8712,0.022987188771367073
1000,4,25,8708,0.02066714596003294
1000,4,24,8713,0.027752947062253952
1000,4,23,8728,0.023813871666789055
1000,4,22,8687,0.029298787005245686
1000,4,21,8725,0.02523338794708252
1000,4,20,8712,0.023361725267022848
1000,4,19,8740,0.02865046914666891
1000,4,18,8714,0.01835983758792281
1000,4,17,8700,0.02718589687719941
1000,4,16,8679,0.02728510880842805
1000,4,15,8714,0.028472994919866323
1000,4,14,8701,0.0290398639626801
1000,4,13,8703,0.025530944112688303
1000,4,12,8716,0.029936423990875483
1000,4,11,8691,0.020563655998557806
1000,4,10,8713,0.022119705099612474
1000,4,9,8705,0.021460796240717173
1000,4,8,8693,0.019493437837809324
1000,4,0,8675,0.12369830626994371
1000,3,29,8720,0.12094498332589865
1000,3,28,8681,0.12395596690475941
1000,3,27,8716,0.09513727203011513
1000,3,26,8739,0.11032983381301165
1000,3,25,8712,0.09388899896293879
1000,3,24,8699,0.11159342620521784
1000,3,23,8699,0.10828011622652411
1000,3,21,8691,0.0338783641345799
1000,3,20,8695,0.0608190237544477
1000,3,19,8704,0.049163955729454756
1000,3,18,8710,0.0605389797128737
1000,3,17,8729,0.13904487807303667
1000,3,16,8698,0.11108361603692174
1000,3,15,8696,0.07602364988997579
1000,3,14,8695,0.1163642443716526
1000,3,13,8724,0.1453021401539445
1000,3,12,8695,0.05950850062072277
1000,3,11,8706,0.08669866481795907
1000,3,9,8693,0.11597520904615521
1000,3,8,8708,0.11842312896624207
1000,3,6,8697,0.15080131217837334
1000,2,21,8683,0.1533573418855667
1000,1,14,8705,0.06007816595956683
1000,1,13,8704,0.05804303660988808
1000,1,12,8731,0.05075017409399152
1000,1,11,8669,0.05115174409002066
1000,1,10,8698,0.03904908802360296
1000,1,9,8711,0.04502839082852006
1000,1,8,8752,0.04899325501173735
1000,1,7,8699,0.0429292181506753
1000,1,6,8698,0.04237401997670531
1000,1,5,8717,0.03883872926235199
1000,1,4,8693,0.0577135868370533
1000,1,3,8706,0.03965971292927861
1000,1,2,8714,0.03439780184999108
1000,1,1,8709,0.03416002029553056
1000,1,0,8682,0.02689280826598406
1000,3,22,8704,0.14053735369816422
1000,6,13,8692,0.04538261890411377
1000,6,18,8715,0.04455009289085865
1000,6,23,8700,0.042198299430310726
1000,7,2,8710,0.037787879817187786
1000,6,25,8709,0.04209135193377733
1000,6,26,8698,0.0414923788048327
1000,6,19,8703,0.04735649889335036
1000,3,10,8720,0.15595861990004778
1000,6,17,8748,0.04863261478021741
1000,7,5,8660,0.0347047271206975
1000,7,0,8700,0.04107745410874486
1000,6,20,8702,0.04782622121274471
1000,6,28,8708,0.0441354988142848
1000,7,14,8722,0.033155249897390604
1000,2,26,8697,0.17114044213667512
1000,7,18,8688,0.032477705739438534
1000,7,7,8703,0.03909337380900979
1000,7,1,8687,0.04684796184301376
1000,4,3,8685,0.14680650876834989
1000,2,2,8720,0.1943667740561068
1000,7,8,8706,0.04248634912073612
1000,3,3,8699,0.16996713494881988
1000,7,9,8702,0.04393937811255455
1000,4,4,8701,0.04494465794414282
1000,7,12,8696,0.03854414774104953
1000,7,13,8740,0.03930976381525397
1000,7,10,8702,0.043746243230998516
1000,7,16,8705,0.03824386605992913
1000,7,11,8696,0.042310016229748726
1000,7,6,8731,0.047534964978694916
1000,4,2,8738,0.15210200566798449
1000,7,4,8717,0.05034822504967451
1000,3,7,8691,0.17261999193578959
1000,7,19,8719,0.022333750035613775
1000,1,18,8724,0.20905510801821947
1000,7,28,8728,0.02197072608396411
1000,3,0,8685,0.18177686212584376
1000,3,1,8744,0.17660916410386562
1000,7,22,8693,0.027330316603183746
1000,7,23,8710,0.02636224776506424
1000,2,17,8727,0.19231189601123333
1000,7,17,8710,0.04583541816100478
1000,7,21,8714,0.02680241223424673
1000,8,7,8729,0.021501394920051098
1000,4,7,8721,0.03425096720457077
1000,7,15,8719,0.04697718285024166
1000,2,19,8706,0.19157783221453428
1000,7,29,8726,0.027108375914394855
1000,3,5,8686,0.1816554358229041
1000,1,20,8714,0.21732922410592437
1000,7,20,8705,0.03050743229687214
1000,8,9,8697,0.02284588385373354
1000,8,17,8722,0.020480755250900984
1000,8,14,8699,0.021948562934994698
1000,7,25,8689,0.03100254200398922
1000,2,16,8710,0.19617382111027837
1000,8,8,8719,0.023618764244019985
1000,1,24,8719,0.2187406630255282
1000,3,4,8708,0.18687527580186725
1000,2,7,8710,0.2045899131335318
1000,7,26,8740,0.034906528890132904
1000,8,16,8701,0.025216775946319103
1000,4,1,8717,0.168865947984159
1000,2,28,8716,0.18834264297038317
1000,8,4,8694,0.03305749036371708
1000,1,15,8704,0.22422130033373833
1000,3,2,8715,0.18729013204574585
1000,8,12,8698,0.02753859106451273
1000,8,3,8726,0.03366354713216424
1000,8,0,8710,0.03427970316261053
1000,8,11,8738,0.026719931978732347
1000,7,27,8720,0.0368327870965004
1000,8,18,8689,0.02684551617130637
1000,9,9,8684,0.014318005181849003
1000,8,2,8698,0.035092619713395834
1000,8,6,8703,0.03279430978000164
1000,4,5,8689,0.03932440187782049
1000,2,6,8709,0.21556974994018674
1000,8,23,8700,0.023196954745799303
1000,8,1,8709,0.0388299529440701
1000,1,26,8689,0.22703952761366963
1000,8,15,8753,0.0321045508608222
1000,8,22,8732,0.023450957611203194
1000,8,27,8700,0.02257433719933033
1000,1,19,8716,0.2289223619736731
1000,7,24,8728,0.04158284515142441
1000,8,13,8673,0.02766853291541338
1000,8,19,8706,0.024714089930057526
1000,2,5,8702,0.21920120669528842
1000,8,29,8722,0.02363320207223296
1000,2,0,8713,0.22402229299768806
1000,8,21,8720,0.025454185903072357
1000,8,5,8691,0.03612468298524618
1000,4,6,8696,0.05114968912675977
1000,8,10,8696,0.0373322363011539
1000,9,0,8717,0.024073435924947262
1000,2,3,8698,0.22279221564531326
1000,9,2,8709,0.02418350987136364
1000,8,26,8686,0.027198881842195988
1000,2,13,8717,0.2162873619236052
1000,9,12,8727,0.021185251884162426
1000,2,22,8687,0.20726696820929646
1000,2,18,8750,0.20880032377317548
1000,2,8,8714,0.22002741089090705
1000,2,27,8726,0.20133834285661578
1000,9,4,8713,0.02404124429449439
1000,8,25,8691,0.028617504984140396
1000,2,24,8713,0.20552235189825296
1000,9,22,8702,0.018416919745504856
1000,9,6,8702,0.02464218996465206
1000,8,28,8705,0.027073318138718605
1000,1,28,8708,0.2319284458644688
1000,9,11,8687,0.022913205437362194
1000,9,10,8735,0.02215597592294216
1000,1,17,8710,0.2348065096884966
1000,2,14,8682,0.21710148314014077
1000,1,25,8715,0.23403677670285106
1000,2,15,8707,0.21166152507066727
1000,9,21,8679,0.019378746394068003
1000,2,23,8678,0.20943715889006853
1000,2,20,8722,0.206887471023947
1000,9,19,8729,0.021221972070634365
