n,s,trial,n_compares,time_taken_ms
1000,42,0,13038,32
1000,42,1,13451,24
1000,42,2,13112,24
1000,42,3,13242,24
1000,42,4,13463,24
1000,42,5,13134,23
1000,42,6,13502,24
1000,42,7,13409,24
1000,42,8,13224,24
1000,42,9,13196,24
1000,42,10,13338,24
1000,42,11,13787,24
1000,42,12,13541,24
1000,42,13,13444,24
1000,42,14,13576,23
1000,42,15,13649,23
1000,42,16,13584,24
1000,42,17,13233,23
1000,42,18,13539,24
1000,42,19,13313,23
1000,42,20,13807,23
1000,42,21,13261,30
1000,42,22,13505,24
1000,42,23,13366,24
1000,42,24,13616,24
1000,42,25,13645,27
1000,42,26,13220,23
1000,42,27,13319,23
1000,42,28,12932,23
1000,42,29,13274,23
10000,42,0,183609,380
10000,42,1,182868,332
10000,42,2,184577,329
10000,42,3,183108,333
10000,42,4,183173,328
10000,42,5,183348,329
10000,42,6,183185,336
10000,42,7,184259,331
10000,42,8,182890,334
10000,42,9,183408,330
10000,42,10,183605,337
10000,42,11,184027,332
10000,42,12,183794,331
10000,42,13,184751,339
10000,42,14,182819,329
10000,42,15,183853,363
10000,42,16,183855,330
10000,42,17,184721,335
10000,42,18,184570,330
10000,42,19,183742,335
10000,42,20,182502,338
10000,42,21,183928,331
10000,42,22,183202,333
10000,42,23,183109,331
10000,42,24,182655,345
10000,42,25,183942,331
10000,42,26,182429,331
10000,42,27,183347,337
10000,42,28,183764,331
10000,42,29,183276,335
100000,42,0,1861301,5278
100000,42,1,1860782,5027
100000,42,2,1862694,4839
100000,42,3,1862502,4868
100000,42,4,1862843,4828
100000,42,5,1863319,4803
100000,42,6,1861683,4864
100000,42,7,1859510,4858
100000,42,8,1860034,4851
100000,42,9,1864100,4845
100000,42,10,1862721,4843
100000,42,11,1863288,4844
100000,42,12,1863249,4859
100000,42,13,1861956,4834
100000,42,14,1860046,4807
100000,42,15,1862217,4836
100000,42,16,1861795,4819
100000,42,17,1860240,4808
100000,42,18,1860552,4848
100000,42,19,1864052,4862
100000,42,20,1861410,4827
100000,42,21,1862195,4837
100000,42,22,1861265,4808
100000,42,23,1860900,4878
100000,42,24,1861740,4854
100000,42,25,1860199,4842
100000,42,26,1863400,4866
100000,42,27,1864250,4865
100000,42,28,1862863,4819
100000,42,29,1861870,4825
1000000,42,0,23180553,63076
1000000,42,1,23169901,68853
1000000,42,2,23179717,68959
1000000,42,3,23177892,65667
1000000,42,4,23179545,69228
1000000,42,5,23177459,59804
1000000,42,6,23194474,68576
1000000,42,7,23187700,65094
1000000,42,8,23184183,66069
1000000,42,9,23168965,59512
1000000,42,10,23193395,59060
1000000,42,11,23183927,60906
