n,s,trial,n_compares,time_taken_ms
1000,1,0,8716,5334
1000,1,1,8740,4742
1000,1,2,8730,4156
1000,1,3,8696,3759
1000,1,4,8733,3536
1000,1,5,8691,3069
1000,1,6,8693,3055
1000,1,7,8711,3052
1000,1,8,8703,2753
1000,1,9,8699,2730
1000,1,10,8732,2699
1000,1,11,8713,2530
1000,1,12,8706,2535
1000,1,13,8727,2645
1000,1,14,8672,2527
1000,2,0,8716,1602
1000,2,1,8740,1490
1000,2,2,8730,1558
1000,2,3,8696,1565
1000,2,4,8733,1487
1000,2,5,8691,1537
1000,2,6,8693,1508
1000,2,7,8711,1507
1000,2,8,8703,1498
1000,2,9,8699,1504
1000,2,10,8732,1811
1000,2,11,8713,1505
1000,2,12,8706,1502
1000,2,13,8727,1494
1000,2,14,8672,1494
1000,3,0,8715,1462
1000,3,1,8735,1451
1000,3,2,8736,1449
1000,3,3,8692,1447
1000,3,4,8729,1440
1000,3,5,8687,1445
1000,3,6,8695,1453
1000,3,7,8713,1447
1000,3,8,8707,1569
1000,3,9,8701,1488
1000,3,10,8728,1451
1000,3,11,8712,1454
1000,3,12,8707,1532
1000,3,13,8727,1488
1000,3,14,8669,1503
1000,4,0,8770,963
1000,4,1,8785,963
1000,4,2,8777,955
1000,4,3,8718,954
1000,4,4,8807,946
1000,4,5,8747,941
1000,4,6,8750,945
1000,4,7,8792,934
1000,4,8,8773,946
1000,4,9,8738,942
1000,4,10,8776,946
1000,4,11,8788,939
1000,4,12,8773,943
1000,4,13,8796,950
1000,4,14,8739,946
1000,5,0,8770,937
1000,5,1,8785,939
1000,5,2,8777,951
1000,5,3,8718,945
1000,5,4,8807,942
1000,5,5,8747,938
1000,5,6,8750,939
1000,5,7,8792,936
1000,5,8,8773,944
1000,5,9,8738,938
1000,5,10,8776,937
1000,5,11,8788,939
1000,5,12,8773,1071
1000,5,13,8796,957
1000,5,14,8739,947
1000,6,0,8770,977
1000,6,1,8785,991
1000,6,2,8777,947
1000,6,3,8718,976
1000,6,4,8807,1001
1000,6,5,8747,960
1000,6,6,8750,945
1000,6,7,8792,943
1000,6,8,8773,1004
1000,6,9,8738,973
1000,6,10,8776,953
1000,6,11,8788,1003
1000,6,12,8773,959
1000,6,13,8796,943
1000,6,14,8739,937
1000,7,0,8826,896
1000,7,1,8839,886
1000,7,2,8828,894
1000,7,3,8770,880
1000,7,4,8856,892
1000,7,5,8788,885
1000,7,6,8816,895
1000,7,7,8863,888
1000,7,8,8806,884
1000,7,9,8777,883
1000,7,10,8821,882
1000,7,11,8826,885
1000,7,12,8831,890
1000,7,13,8833,885
1000,7,14,8786,888
1000,8,0,9182,669
1000,8,1,9140,645
1000,8,2,9142,641
1000,8,3,9122,641
1000,8,4,9221,647
1000,8,5,9099,658
1000,8,6,9146,659
1000,8,7,9161,654
1000,8,8,9147,649
1000,8,9,9127,642
1000,8,10,9146,660
1000,8,11,9192,644
1000,8,12,9157,639
1000,8,13,9155,706
1000,8,14,9103,667
1000,9,0,9182,643
1000,9,1,9140,654
1000,9,2,9142,651
1000,9,3,9122,647
1000,9,4,9221,645
1000,9,5,9099,670
1000,9,6,9146,662
1000,9,7,9161,638
1000,9,8,9147,639
1000,9,9,9127,677
1000,9,10,9146,658
1000,9,11,9192,659
1000,9,12,9157,684
1000,9,13,9155,666
1000,9,14,9103,665
1000,10,0,9182,648
1000,10,1,9140,660
1000,10,2,9142,646
1000,10,3,9122,660
1000,10,4,9221,640
1000,10,5,9099,638
1000,10,6,9146,653
1000,10,7,9161,655
1000,10,8,9147,650
1000,10,9,9127,655
1000,10,10,9146,653
1000,10,11,9192,641
1000,10,12,9157,648
1000,10,13,9155,670
1000,10,14,9103,694
1000,11,0,9182,659
1000,11,1,9140,646
1000,11,2,9142,649
1000,11,3,9122,659
1000,11,4,9221,643
1000,11,5,9099,667
1000,11,6,9146,675
1000,11,7,9161,649
1000,11,8,9147,668
1000,11,9,9127,659
1000,11,10,9146,640
1000,11,11,9192,642
1000,11,12,9157,643
1000,11,13,9155,638
1000,11,14,9103,661
1000,12,0,9182,641
1000,12,1,9140,655
1000,12,2,9142,665
1000,12,3,9122,642
1000,12,4,9221,682
1000,12,5,9099,658
1000,12,6,9146,641
1000,12,7,9161,661
1000,12,8,9147,645
1000,12,9,9127,637
1000,12,10,9146,664
1000,12,11,9192,644
1000,12,12,9157,647
1000,12,13,9155,639
1000,12,14,9103,670
1000,13,0,9182,662
1000,13,1,9140,660
1000,13,2,9142,639
1000,13,3,9122,642
1000,13,4,9221,637
1000,13,5,9099,638
1000,13,6,9146,645
1000,13,7,9161,643
1000,13,8,9147,649
1000,13,9,9127,667
1000,13,10,9146,636
1000,13,11,9192,643
1000,13,12,9157,677
1000,13,13,9155,655
1000,13,14,9103,673
1000,14,0,9182,651
1000,14,1,9140,637
1000,14,2,9142,648
1000,14,3,9122,647
1000,14,4,9221,651
1000,14,5,9099,653
1000,14,6,9146,653
1000,14,7,9161,646
1000,14,8,9147,642
1000,14,9,9127,662
1000,14,10,9146,680
1000,14,11,9192,638
1000,14,12,9157,666
1000,14,13,9155,648
1000,14,14,9103,642
1000,15,0,9564,585
1000,15,1,9590,574
1000,15,2,9516,600
1000,15,3,9549,588
1000,15,4,9676,589
1000,15,5,9427,640
1000,15,6,9486,582
1000,15,7,9491,587
1000,15,8,9516,583
1000,15,9,9521,575
1000,15,10,9591,575
1000,15,11,9652,609
1000,15,12,9524,587
1000,15,13,9557,601
1000,15,14,9542,598
1000,16,0,10245,469
1000,16,1,10317,482
1000,16,2,10300,478
1000,16,3,10347,465
1000,16,4,10605,466
1000,16,5,10145,468
1000,16,6,10349,471
1000,16,7,10276,466
1000,16,8,10341,464
1000,16,9,10280,464
1000,16,10,10383,468
1000,16,11,10510,467
1000,16,12,10465,470
1000,16,13,10408,489
1000,16,14,10305,471
1000,17,0,10245,466
1000,17,1,10317,468
1000,17,2,10300,628
1000,17,3,10347,483
1000,17,4,10605,467
1000,17,5,10145,464
1000,17,6,10349,466
1000,17,7,10276,465
1000,17,8,10341,465
1000,17,9,10280,473
1000,17,10,10383,465
1000,17,11,10510,469
1000,17,12,10465,504
1000,17,13,10408,518
1000,17,14,10305,556
1000,18,0,10245,481
1000,18,1,10317,464
1000,18,2,10300,468
1000,18,3,10347,468
1000,18,4,10605,502
1000,18,5,10145,465
1000,18,6,10349,466
1000,18,7,10276,465
1000,18,8,10341,468
1000,18,9,10280,496
1000,18,10,10383,488
1000,18,11,10510,476
1000,18,12,10465,477
1000,18,13,10408,474
1000,18,14,10305,487
1000,19,0,10245,465
1000,19,1,10317,471
1000,19,2,10300,498
1000,19,3,10347,471
1000,19,4,10605,489
1000,19,5,10145,464
1000,19,6,10349,465
1000,19,7,10276,469
1000,19,8,10341,506
1000,19,9,10280,477
1000,19,10,10383,466
1000,19,11,10510,487
1000,19,12,10465,510
1000,19,13,10408,478
1000,19,14,10305,467
1000,20,0,10245,472
1000,20,1,10317,465
1000,20,2,10300,466
1000,20,3,10347,464
1000,20,4,10605,468
1000,20,5,10145,465
1000,20,6,10349,467
1000,20,7,10276,466
1000,20,8,10341,466
1000,20,9,10280,465
1000,20,10,10383,473
1000,20,11,10510,473
1000,20,12,10465,467
1000,20,13,10408,490
1000,20,14,10305,466
1000,21,0,10245,492
1000,21,1,10317,492
1000,21,2,10300,476
1000,21,3,10347,465
1000,21,4,10605,467
1000,21,5,10145,466
1000,21,6,10349,467
1000,21,7,10276,465
1000,21,8,10341,465
1000,21,9,10280,464
1000,21,10,10383,499
1000,21,11,10510,503
1000,21,12,10465,469
1000,21,13,10408,475
1000,21,14,10305,467
1000,22,0,10245,500
1000,22,1,10317,466
1000,22,2,10300,466
1000,22,3,10347,465
1000,22,4,10605,468
1000,22,5,10145,465
1000,22,6,10349,467
1000,22,7,10276,469
1000,22,8,10341,465
1000,22,9,10280,469
1000,22,10,10383,466
1000,22,11,10510,484
1000,22,12,10465,467
1000,22,13,10408,486
1000,22,14,10305,467
1000,23,0,10245,468
1000,23,1,10317,464
1000,23,2,10300,466
1000,23,3,10347,466
1000,23,4,10605,468
1000,23,5,10145,464
1000,23,6,10349,467
1000,23,7,10276,473
1000,23,8,10341,466
1000,23,9,10280,466
1000,23,10,10383,468
1000,23,11,10510,467
1000,23,12,10465,467
1000,23,13,10408,467
1000,23,14,10305,467
1000,24,0,10245,464
1000,24,1,10317,466
1000,24,2,10300,466
1000,24,3,10347,477
1000,24,4,10605,467
1000,24,5,10145,465
1000,24,6,10349,466
1000,24,7,10276,466
1000,24,8,10341,466
1000,24,9,10280,467
1000,24,10,10383,468
1000,24,11,10510,470
1000,24,12,10465,467
1000,24,13,10408,467
1000,24,14,10305,467
1000,25,0,10245,473
1000,25,1,10317,473
1000,25,2,10300,465
1000,25,3,10347,465
1000,25,4,10605,467
1000,25,5,10145,465
1000,25,6,10349,470
1000,25,7,10276,466
1000,25,8,10341,466
1000,25,9,10280,466
1000,25,10,10383,468
1000,25,11,10510,475
1000,25,12,10465,467
1000,25,13,10408,466
1000,25,14,10305,467
1000,26,0,10245,466
1000,26,1,10317,465
1000,26,2,10300,465
1000,26,3,10347,466
1000,26,4,10605,468
1000,26,5,10145,465
1000,26,6,10349,467
1000,26,7,10276,466
1000,26,8,10341,466
1000,26,9,10280,471
1000,26,10,10383,466
1000,26,11,10510,468
1000,26,12,10465,466
1000,26,13,10408,467
1000,26,14,10305,467
1000,27,0,10245,466
1000,27,1,10317,466
1000,27,2,10300,465
1000,27,3,10347,464
1000,27,4,10605,466
1000,27,5,10145,465
1000,27,6,10349,466
1000,27,7,10276,466
1000,27,8,10341,466
1000,27,9,10280,464
1000,27,10,10383,467
1000,27,11,10510,468
1000,27,12,10465,469
1000,27,13,10408,466
1000,27,14,10305,467
1000,28,0,10245,464
1000,28,1,10317,466
1000,28,2,10300,465
1000,28,3,10347,466
1000,28,4,10605,468
1000,28,5,10145,465
1000,28,6,10349,466
1000,28,7,10276,466
1000,28,8,10341,465
1000,28,9,10280,465
1000,28,10,10383,467
1000,28,11,10510,467
1000,28,12,10465,466
1000,28,13,10408,466
1000,28,14,10305,467
1000,29,0,10245,467
1000,29,1,10317,467
1000,29,2,10300,466
1000,29,3,10347,465
1000,29,4,10605,467
1000,29,5,10145,468
1000,29,6,10349,469
1000,29,7,10276,473
1000,29,8,10341,466
1000,29,9,10280,465
1000,29,10,10383,477
