,ram,time,n_vertex,p_edge,graph_adj,priority_queue,trial_i
0,23289856,11.931071544997394,900,0.21052631578947367,matrix,heap,0
1,20246528,20.590439200008404,400,0.894736842105263,matrix,array,1
2,18763776,20.617439459994785,450,0.631578947368421,matrix,heap,12
3,47087616,15.416624543009675,850,1.0,list,heap,8
4,31977472,3.774819446989568,650,0.7894736842105263,list,array,26
5,19660800,9.839412025001366,650,0.21052631578947367,list,heap,12
6,20807680,5.214396312003373,450,0.631578947368421,list,heap,25
7,16048128,5.6313204299949575,450,0.10526315789473684,matrix,heap,18
8,14675968,12.803099132986972,1,0.631578947368421,list,array,2
9,18317312,4.267882408006699,500,0.3157894736842105,matrix,array,20
10,24342528,22.633472828005324,650,0.42105263157894735,list,array,2
11,16523264,1.511640611992334,650,0.0,matrix,array,4
12,33722368,1.1272320599964587,750,1.0,matrix,heap,7
13,27369472,10.922956452996004,700,0.7368421052631579,matrix,array,8
14,18632704,10.087625123996986,450,0.5789473684210527,matrix,array,29
15,14757888,3.9861884220008506,1,0.894736842105263,matrix,array,13
16,17596416,18.619660352997016,300,0.8421052631578947,matrix,array,10
17,22978560,8.439123813994229,750,0.3157894736842105,list,heap,9
18,27627520,5.187421594993793,850,0.42105263157894735,matrix,array,23
19,30343168,2.909722291995422,800,0.47368421052631576,list,array,7
20,22298624,1.30263154298882,750,0.3157894736842105,matrix,heap,1
21,15704064,1.5436589219898451,200,0.6842105263157894,matrix,heap,22
22,22290432,0.23174489299708512,700,0.3157894736842105,list,heap,14
23,16371712,0.9464882129977923,350,0.3157894736842105,matrix,array,0
24,37691392,9.387799721996998,900,0.5789473684210527,list,heap,13
25,16642048,4.242602532001911,300,0.6842105263157894,matrix,heap,27
26,33959936,3.2562605990096927,750,0.6842105263157894,list,heap,12
27,15884288,9.38945876499929,350,0.15789473684210525,matrix,array,25
28,28545024,22.411539019987686,850,0.5263157894736842,matrix,heap,7
29,19734528,8.364767591992859,950,0.05263157894736842,matrix,array,24
30,22597632,5.593604798006709,800,0.2631578947368421,matrix,heap,25
31,23404544,22.68917836000037,450,0.9473684210526315,list,heap,6
32,14757888,9.715452229007496,100,0.21052631578947367,list,heap,19
33,21487616,9.695233107995591,650,0.3684210526315789,matrix,array,28
34,22290432,11.289833167000324,650,0.5263157894736842,matrix,array,12
35,20639744,4.66961025200726,850,0.15789473684210525,matrix,array,7
36,29913088,2.7682888159906724,850,0.6842105263157894,matrix,array,18
37,14757888,10.378650768994703,100,0.05263157894736842,list,heap,2
38,30351360,12.116391812000074,950,0.5263157894736842,matrix,heap,6
39,17489920,3.9021692389942473,550,0.21052631578947367,list,array,3
40,25673728,2.599926647002576,600,0.7368421052631579,matrix,heap,29
41,15028224,19.705475929004024,250,0.0,matrix,heap,7
